datetime,Open,High,Low,Close,Volume
2024-12-24 11:30:00,2615.485,2617.695,2615.485,2617.375,2388
2024-12-24 11:45:00,2617.355,2617.675,2615.485,2615.875,2464
2024-12-24 12:00:00,2615.855,2616.435,2615.175,2615.425,2269
2024-12-24 12:15:00,2615.405,2619.245,2615.345,2619.125,2903
2024-12-24 12:30:00,2619.125,2619.125,2617.045,2617.575,3366
2024-12-24 12:45:00,2617.595,2617.595,2615.585,2616.845,2724
2024-12-24 13:00:00,2616.855,2617.608,2615.895,2616.415,1042
2024-12-24 13:15:00,2616.415,2616.445,2614.565,2616.325,896
2024-12-24 13:30:00,2616.305,2617.048,2615.535,2616.348,476
2024-12-25 18:00:00,2619.205,2619.255,2614.248,2617.615,658
2024-12-25 18:15:00,2617.655,2619.825,2617.448,2619.475,537
2024-12-25 18:30:00,2619.475,2619.735,2618.288,2618.365,316
2024-12-25 18:45:00,2618.375,2618.535,2617.668,2618.205,243
2024-12-25 19:00:00,2618.274,2619.775,2618.205,2619.145,318
2024-12-25 19:15:00,2619.105,2620.245,2618.995,2620.065,368
2024-12-25 19:30:00,2620.005,2622.545,2619.825,2620.808,1377
2024-12-25 19:45:00,2620.808,2622.198,2620.148,2621.455,1183
2024-12-25 20:00:00,2621.448,2625.385,2620.645,2624.398,3010
2024-12-25 20:15:00,2624.425,2626.105,2623.845,2625.655,2006
2024-12-25 20:30:00,2625.695,2628.0,2625.635,2626.205,1848
2024-12-25 20:45:00,2626.205,2627.425,2625.805,2626.385,1715
2024-12-25 21:00:00,2626.385,2626.998,2625.765,2626.225,1675
2024-12-25 21:15:00,2626.228,2626.898,2625.715,2626.065,1200
2024-12-25 21:30:00,2626.065,2627.165,2625.635,2626.105,1316
2024-12-25 21:45:00,2626.055,2627.725,2625.735,2627.445,1740
2024-12-25 22:00:00,2627.445,2628.915,2627.298,2628.435,1444
2024-12-25 22:15:00,2628.485,2628.555,2625.885,2625.985,1732
2024-12-25 22:30:00,2626.055,2628.385,2625.915,2627.315,840
2024-12-25 22:45:00,2627.275,2627.365,2625.565,2626.658,1505
2024-12-25 23:00:00,2626.648,2627.075,2626.048,2626.695,578
2024-12-25 23:15:00,2626.715,2628.105,2626.305,2627.235,946
2024-12-25 23:30:00,2627.225,2629.065,2626.865,2628.565,945
2024-12-25 23:45:00,2628.585,2628.715,2627.098,2627.098,938
2024-12-26 00:00:00,2627.074,2627.198,2625.968,2626.785,1576
2024-12-26 00:15:00,2626.715,2627.555,2625.808,2626.995,1007
2024-12-26 00:30:00,2627.135,2628.205,2626.485,2627.425,1395
2024-12-26 00:45:00,2627.415,2628.195,2626.325,2626.345,999
2024-12-26 01:00:00,2626.325,2627.145,2624.515,2626.875,2023
2024-12-26 01:15:00,2626.855,2627.005,2626.148,2626.765,756
2024-12-26 01:30:00,2626.765,2626.765,2625.125,2625.208,750
2024-12-26 01:45:00,2625.208,2626.398,2624.798,2625.935,899
2024-12-26 02:00:00,2625.915,2629.498,2625.755,2626.948,1566
2024-12-26 02:15:00,2626.948,2627.298,2623.798,2624.398,1439
2024-12-26 02:30:00,2624.424,2624.798,2623.435,2624.325,875
2024-12-26 02:45:00,2624.285,2625.594,2624.215,2625.198,1185
2024-12-26 03:00:00,2625.298,2628.504,2625.098,2627.898,1780
2024-12-26 03:15:00,2627.898,2628.895,2626.785,2627.198,1263
2024-12-26 03:30:00,2627.154,2627.154,2624.934,2625.874,1195
2024-12-26 03:45:00,2625.874,2627.705,2625.648,2627.335,1390
2024-12-26 04:00:00,2627.344,2627.848,2626.278,2627.455,1387
2024-12-26 04:15:00,2627.504,2627.504,2625.918,2625.918,925
2024-12-26 04:30:00,2625.918,2627.298,2625.905,2627.198,831
2024-12-26 04:45:00,2627.198,2628.065,2626.964,2627.184,1169
2024-12-26 05:00:00,2627.184,2627.998,2627.088,2627.598,1293
2024-12-26 05:15:00,2627.565,2628.498,2626.625,2627.348,1309
2024-12-26 05:30:00,2627.348,2629.008,2626.948,2628.354,1131
2024-12-26 05:45:00,2628.394,2629.198,2628.338,2628.515,901
2024-12-26 06:00:00,2628.505,2629.808,2627.864,2629.025,1256
2024-12-26 06:15:00,2628.995,2629.305,2628.224,2629.148,1133
2024-12-26 06:30:00,2629.148,2629.648,2627.945,2628.448,686
2024-12-26 06:45:00,2628.548,2628.598,2627.585,2627.738,1098
2024-12-26 07:00:00,2627.738,2628.398,2625.045,2625.398,1231
2024-12-26 07:15:00,2625.398,2626.398,2624.455,2625.955,1551
2024-12-26 07:30:00,2625.974,2627.048,2625.795,2626.088,1049
2024-12-26 07:45:00,2626.148,2626.998,2625.675,2626.515,969
2024-12-26 08:00:00,2626.498,2630.948,2626.455,2630.048,3232
2024-12-26 08:15:00,2629.918,2630.348,2626.714,2627.704,2188
2024-12-26 08:30:00,2627.468,2627.984,2623.508,2623.674,3091
2024-12-26 08:45:00,2623.715,2624.085,2621.598,2622.904,3256
2024-12-26 09:00:00,2622.904,2625.148,2622.334,2625.098,2416
2024-12-26 09:15:00,2625.145,2627.228,2625.098,2626.378,2285
2024-12-26 09:30:00,2626.368,2626.598,2624.384,2626.025,3896
2024-12-26 09:45:00,2626.018,2630.098,2626.008,2629.898,4216
2024-12-26 10:00:00,2629.898,2634.898,2628.955,2634.684,4770
2024-12-26 10:15:00,2634.685,2635.684,2633.348,2635.115,3949
2024-12-26 10:30:00,2635.095,2637.215,2634.505,2636.075,4236
2024-12-26 10:45:00,2635.895,2638.975,2635.785,2636.304,4882
2024-12-26 11:00:00,2636.358,2636.585,2632.654,2634.574,3545
2024-12-26 11:15:00,2634.574,2635.044,2632.644,2633.225,2489
2024-12-26 11:30:00,2633.235,2633.255,2631.294,2632.704,1815
2024-12-26 11:45:00,2632.715,2633.495,2631.794,2631.954,2874
2024-12-26 12:00:00,2631.954,2631.995,2630.005,2630.385,2788
2024-12-26 12:15:00,2630.375,2630.874,2628.204,2628.334,2080
2024-12-26 12:30:00,2628.334,2630.535,2627.998,2630.508,1895
2024-12-26 12:45:00,2630.485,2630.485,2627.818,2629.205,2589
2024-12-26 13:00:00,2629.205,2633.698,2629.105,2631.415,3265
2024-12-26 13:15:00,2631.415,2635.425,2631.225,2634.945,3386
2024-12-26 13:30:00,2634.945,2635.855,2633.448,2634.095,2566
2024-12-26 13:45:00,2634.075,2635.425,2633.764,2634.645,1853
2024-12-26 14:00:00,2634.645,2634.645,2632.484,2633.524,2119
2024-12-26 14:15:00,2633.555,2634.354,2632.644,2633.855,1559
2024-12-26 14:30:00,2633.794,2635.755,2633.455,2635.265,1954
2024-12-26 14:45:00,2635.275,2635.765,2634.274,2634.765,2018
2024-12-26 15:00:00,2634.775,2635.898,2634.215,2635.315,1586
2024-12-26 15:15:00,2635.315,2636.205,2634.915,2635.355,1665
2024-12-26 15:30:00,2635.355,2635.564,2634.145,2634.145,1956
2024-12-26 15:45:00,2634.175,2634.615,2633.585,2634.115,2878
2024-12-26 16:00:00,2634.128,2634.375,2632.925,2633.548,820
2024-12-26 16:15:00,2633.648,2634.225,2633.435,2633.995,431
2024-12-26 16:30:00,2633.955,2633.965,2633.275,2633.848,186
2024-12-26 16:45:00,2633.848,2634.255,2632.625,2632.705,464
2024-12-26 18:00:00,2632.448,2633.298,2630.425,2632.605,275
2024-12-26 18:15:00,2632.605,2633.348,2632.175,2632.348,457
2024-12-26 18:30:00,2632.548,2633.255,2631.948,2633.255,472
2024-12-26 18:45:00,2633.255,2634.305,2631.285,2632.478,1312
2024-12-26 19:00:00,2632.348,2633.648,2631.545,2633.448,597
2024-12-26 19:15:00,2633.448,2633.848,2632.205,2632.205,502
2024-12-26 19:30:00,2632.225,2632.695,2631.255,2631.505,612
2024-12-26 19:45:00,2631.455,2632.185,2631.265,2631.305,574
2024-12-26 20:00:00,2631.295,2633.755,2630.685,2632.735,2106
2024-12-26 20:15:00,2632.715,2633.815,2630.885,2631.135,2543
2024-12-26 20:30:00,2631.155,2632.105,2630.615,2631.405,2237
2024-12-26 20:45:00,2631.375,2633.575,2631.245,2632.165,1323
2024-12-26 21:00:00,2632.165,2632.165,2629.665,2629.795,1438
2024-12-26 21:15:00,2629.795,2630.995,2629.625,2629.828,1230
2024-12-26 21:30:00,2629.828,2630.645,2628.765,2629.385,1679
2024-12-26 21:45:00,2629.375,2633.515,2629.315,2632.685,2156
2024-12-26 22:00:00,2632.715,2632.905,2631.448,2632.435,1628
2024-12-26 22:15:00,2632.435,2633.225,2631.565,2632.665,1586
2024-12-26 22:30:00,2632.635,2635.348,2632.595,2634.048,1636
2024-12-26 22:45:00,2634.048,2634.548,2633.554,2633.685,1084
2024-12-26 23:00:00,2633.675,2633.715,2632.115,2632.785,1098
2024-12-26 23:15:00,2632.815,2633.605,2631.748,2632.565,842
2024-12-26 23:30:00,2632.565,2633.815,2632.315,2633.535,753
2024-12-26 23:45:00,2633.495,2633.925,2632.975,2633.455,678
2024-12-27 00:00:00,2633.455,2634.105,2632.835,2632.885,653
2024-12-27 00:15:00,2632.725,2633.875,2632.545,2633.585,563
2024-12-27 00:30:00,2633.555,2634.095,2632.355,2632.545,1214
2024-12-27 00:45:00,2632.525,2632.795,2631.165,2631.215,1014
2024-12-27 01:00:00,2631.235,2633.825,2631.148,2633.548,1266
2024-12-27 01:15:00,2633.575,2636.825,2633.565,2636.425,1514
2024-12-27 01:30:00,2636.365,2636.748,2633.795,2634.785,1695
2024-12-27 01:45:00,2634.785,2635.418,2633.555,2634.448,1335
2024-12-27 02:00:00,2634.424,2637.298,2633.745,2636.498,1283
2024-12-27 02:15:00,2636.525,2637.498,2635.898,2636.165,1043
2024-12-27 02:30:00,2636.105,2638.105,2635.045,2635.325,1557
2024-12-27 02:45:00,2635.335,2635.805,2632.905,2633.435,1387
2024-12-27 03:00:00,2633.384,2633.384,2627.804,2629.348,2432
2024-12-27 03:15:00,2629.304,2629.975,2627.278,2629.355,2397
2024-12-27 03:30:00,2629.375,2629.965,2627.715,2627.915,1771
2024-12-27 03:45:00,2627.855,2627.915,2626.0,2626.048,1911
2024-12-27 04:00:00,2626.048,2627.015,2625.115,2625.685,2074
2024-12-27 04:15:00,2625.625,2627.505,2624.965,2627.025,1413
2024-12-27 04:30:00,2627.025,2627.025,2624.365,2624.648,1704
2024-12-27 04:45:00,2624.605,2625.135,2623.575,2623.895,1602
2024-12-27 05:00:00,2623.895,2625.665,2623.595,2625.665,1497
2024-12-27 05:15:00,2625.655,2627.145,2625.255,2627.045,1391
2024-12-27 05:30:00,2626.955,2627.885,2623.248,2624.998,2090
2024-12-27 05:45:00,2624.998,2626.698,2624.798,2626.495,1208
2024-12-27 06:00:00,2626.565,2626.625,2625.0,2626.215,1973
2024-12-27 06:15:00,2626.198,2627.305,2625.798,2626.005,1694
2024-12-27 06:30:00,2626.005,2627.605,2625.635,2627.605,1002
2024-12-27 06:45:00,2627.598,2628.705,2627.215,2628.495,1673
2024-12-27 07:00:00,2628.585,2630.455,2628.175,2630.335,2126
2024-12-27 07:15:00,2630.355,2631.395,2627.828,2628.348,2534
2024-12-27 07:30:00,2628.348,2629.765,2627.305,2627.455,2592
2024-12-27 07:45:00,2627.435,2628.155,2625.415,2625.998,1824
2024-12-27 08:00:00,2625.998,2626.448,2621.325,2625.665,4243
2024-12-27 08:15:00,2625.755,2627.165,2619.798,2620.545,4015
2024-12-27 08:30:00,2620.425,2621.755,2617.955,2621.055,3162
2024-12-27 08:45:00,2621.055,2622.505,2618.544,2618.655,2979
2024-12-27 09:00:00,2618.625,2619.198,2615.0,2616.548,4015
2024-12-27 09:15:00,2616.548,2618.785,2614.074,2614.694,3567
2024-12-27 09:30:00,2614.664,2616.515,2611.285,2616.075,5190
2024-12-27 09:45:00,2616.035,2617.995,2614.918,2615.475,4603
2024-12-27 10:00:00,2615.475,2618.385,2613.515,2614.915,6518
2024-12-27 10:15:00,2615.005,2617.345,2613.755,2614.524,6035
2024-12-27 10:30:00,2614.515,2617.695,2612.748,2616.915,4427
2024-12-27 10:45:00,2616.925,2619.355,2616.725,2617.945,4272
2024-12-27 11:00:00,2617.944,2618.884,2616.295,2616.498,3337
2024-12-27 11:15:00,2616.554,2619.395,2615.185,2618.985,3861
2024-12-27 11:30:00,2618.975,2619.104,2616.548,2617.398,3019
2024-12-27 11:45:00,2617.398,2619.648,2616.848,2617.815,3156
